Date,Time,Open,High,Low,Close,Volume
2012.06.25,12:00,1.55588,1.55641,1.55374,1.5554,14273
2012.06.25,16:00,1.55546,1.55728,1.55509,1.55625,13249
2012.06.25,20:00,1.55627,1.5575,1.55563,1.55701,5198
2012.06.26,0:00,1.55692,1.55814,1.55619,1.55796,4968
2012.06.26,4:00,1.55794,1.55869,1.55676,1.55829,5993
2012.06.26,8:00,1.55828,1.56393,1.55801,1.56347,17989
2012.06.26,12:00,1.56347,1.56494,1.55754,1.56091,16255
2012.06.26,16:00,1.56094,1.56398,1.55802,1.56282,16709
2012.06.26,20:00,1.56284,1.56464,1.56277,1.56332,7128
2012.06.27,0:00,1.56333,1.56387,1.5622,1.56286,4817
2012.06.27,4:00,1.56286,1.56397,1.56269,1.56331,5014
2012.06.27,8:00,1.56331,1.56369,1.56078,1.56267,14765
2012.06.27,12:00,1.56265,1.56334,1.55448,1.55545,18409
2012.06.27,16:00,1.55545,1.55734,1.55447,1.55618,16874
2012.06.27,20:00,1.55615,1.55704,1.55532,1.55645,6717
2012.06.28,0:00,1.55644,1.55868,1.55643,1.5584,6004
2012.06.28,4:00,1.55839,1.55974,1.55754,1.55882,8545
2012.06.28,8:00,1.55881,1.5622,1.55251,1.55296,23971
2012.06.28,12:00,1.55293,1.55754,1.55053,1.55206,23731
2012.06.28,16:00,1.55207,1.55252,1.54861,1.54933,17567
2012.06.28,20:00,1.54931,1.55175,1.54838,1.5514,10786
2012.06.29,0:00,1.55144,1.55336,1.5508,1.55332,5496
2012.06.29,4:00,1.55333,1.56258,1.55304,1.56072,17718
2012.06.29,8:00,1.56076,1.56772,1.55726,1.55778,27652
2012.06.29,12:00,1.55774,1.5698,1.55745,1.56831,25515
2012.06.29,16:00,1.5683,1.57051,1.56695,1.56867,18763
2012.06.29,20:00,1.56867,1.5714,1.56586,1.5704,6377
2012.07.02,0:00,1.5695,1.56958,1.56482,1.56593,7250
2012.07.02,4:00,1.56591,1.56725,1.5649,1.56629,5414
2012.07.02,8:00,1.56629,1.57,1.56401,1.56739,21348
2012.07.02,12:00,1.5674,1.57208,1.56526,1.56946,17773
2012.07.02,16:00,1.56947,1.57046,1.56616,1.56798,14363
2012.07.02,20:00,1.568,1.5719,1.56787,1.56903,5779
2012.07.03,0:00,1.56905,1.56961,1.5685,1.56895,4983
2012.07.03,4:00,1.56894,1.57048,1.56881,1.56996,7349
2012.07.03,8:00,1.56995,1.57119,1.56699,1.56796,18904
2012.07.03,12:00,1.56794,1.56974,1.56561,1.56897,18093
2012.07.03,16:00,1.56898,1.57073,1.56596,1.56885,16316
2012.07.03,20:00,1.56883,1.5694,1.5685,1.56852,3345
2012.07.04,0:00,1.56854,1.56888,1.56668,1.56724,5779
2012.07.04,4:00,1.56723,1.56807,1.56654,1.56758,5722
2012.07.04,8:00,1.5676,1.56803,1.56289,1.56599,13375
2012.07.04,12:00,1.56604,1.56616,1.56039,1.5611,11929
2012.07.04,16:00,1.56111,1.56181,1.5573,1.56084,9655
2012.07.04,20:00,1.56088,1.56094,1.55791,1.55932,3858
2012.07.05,0:00,1.55932,1.55966,1.55797,1.55881,5587
2012.07.05,4:00,1.55882,1.56105,1.55829,1.56105,4884
2012.07.05,8:00,1.56104,1.56221,1.55664,1.55676,14826
2012.07.05,12:00,1.55676,1.56053,1.55088,1.55161,22210
2012.07.05,16:00,1.55161,1.55358,1.54986,1.55209,14156
2012.07.05,20:00,1.55211,1.55314,1.55179,1.55209,5606
2012.07.06,0:00,1.55214,1.55335,1.55157,1.55157,5589
2012.07.06,4:00,1.55165,1.55298,1.55163,1.55256,5055
2012.07.06,8:00,1.55256,1.55499,1.55048,1.55396,13911
2012.07.06,12:00,1.55398,1.55491,1.54983,1.55045,17450
2012.07.06,16:00,1.55048,1.5521,1.54594,1.54757,14658
2012.07.06,20:00,1.54757,1.5491,1.54642,1.5489,4255
2012.07.09,0:00,1.54755,1.54941,1.54707,1.54908,5880
2012.07.09,4:00,1.5491,1.54955,1.54836,1.54949,4412
2012.07.09,8:00,1.54947,1.55126,1.54692,1.5496,13766
2012.07.09,12:00,1.5496,1.55112,1.54789,1.55063,13451
2012.07.09,16:00,1.55062,1.55293,1.54945,1.55211,12033
2012.07.09,20:00,1.55213,1.5533,1.55088,1.55225,5030
2012.07.10,0:00,1.55225,1.55325,1.55116,1.55146,4294
2012.07.10,4:00,1.55141,1.55212,1.54976,1.55084,4507
2012.07.10,8:00,1.5508,1.55482,1.54939,1.55357,14344
2012.07.10,12:00,1.55353,1.55423,1.54922,1.55227,14157
2012.07.10,16:00,1.55226,1.5527,1.54776,1.55116,11631
2012.07.10,20:00,1.55121,1.55234,1.54983,1.55146,6371
