,Date,Time,Open,High,Low,Close,Volume,Date_Time
14461,2023-04-19 23:00:00,23:00,1994.38,1995.28,1993.79,1994.49,5575,2023.04.19 23:00
14462,2023-04-20 01:00:00,01:00,1994.49,1995.63,1993.76,1994.41,4187,2023.04.20 01:00
14463,2023-04-20 02:00:00,02:00,1994.4,1994.59,1993.08,1993.61,5670,2023.04.20 02:00
14464,2023-04-20 03:00:00,03:00,1993.62,1996.59,1993.4,1995.54,10808,2023.04.20 03:00
14465,2023-04-20 04:00:00,04:00,1995.52,1998.61,1992.09,1995.61,18266,2023.04.20 04:00
14466,2023-04-20 05:00:00,05:00,1995.59,1996.77,1991.51,1991.7,15327,2023.04.20 05:00
14467,2023-04-20 06:00:00,06:00,1991.7,1993.08,1990.38,1992.67,10158,2023.04.20 06:00
14468,2023-04-20 07:00:00,07:00,1992.67,1994.21,1991.9,1992.6,7880,2023.04.20 07:00
14469,2023-04-20 08:00:00,08:00,1992.59,1995.16,1991.25,1994.13,13005,2023.04.20 08:00
14470,2023-04-20 09:00:00,09:00,1994.14,2001.08,1994.14,1999.05,22467,2023.04.20 09:00
14471,2023-04-20 10:00:00,10:00,1999.05,1999.87,1995.41,1997.08,22097,2023.04.20 10:00
14472,2023-04-20 11:00:00,11:00,1997.09,1999.0,1994.42,1996.56,21502,2023.04.20 11:00
14473,2023-04-20 12:00:00,12:00,1996.56,2000.11,1992.26,1999.49,20806,2023.04.20 12:00
14474,2023-04-20 13:00:00,13:00,1999.51,2004.76,1999.49,2003.5,19118,2023.04.20 13:00
14475,2023-04-20 14:00:00,14:00,2003.5,2004.53,2000.87,2000.95,17247,2023.04.20 14:00
14476,2023-04-20 15:00:00,15:00,2000.96,2011.21,1997.34,2006.67,30994,2023.04.20 15:00
14477,2023-04-20 16:00:00,16:00,2006.67,2007.21,2002.88,2003.49,32018,2023.04.20 16:00
14478,2023-04-20 17:00:00,17:00,2003.47,2012.25,2000.89,2003.5,33150,2023.04.20 17:00
14479,2023-04-20 18:00:00,18:00,2003.5,2004.12,1998.93,2002.48,27115,2023.04.20 18:00
14480,2023-04-20 19:00:00,19:00,2002.47,2006.91,2002.2,2005.72,19509,2023.04.20 19:00
14481,2023-04-20 20:00:00,20:00,2005.73,2008.25,2005.36,2006.57,16177,2023.04.20 20:00
14482,2023-04-20 21:00:00,21:00,2006.57,2006.78,2004.14,2005.7,13815,2023.04.20 21:00
14483,2023-04-20 22:00:00,22:00,2005.7,2005.85,2002.12,2002.99,14472,2023.04.20 22:00
14484,2023-04-20 23:00:00,23:00,2003.0,2005.71,2003.0,2004.57,5768,2023.04.20 23:00
14485,2023-04-21 01:00:00,01:00,2004.36,2004.88,2002.41,2004.54,4470,2023.04.21 01:00
14486,2023-04-21 02:00:00,02:00,2004.53,2005.41,2001.7,2005.19,7330,2023.04.21 02:00
14487,2023-04-21 03:00:00,03:00,2005.19,2005.46,2001.69,2004.46,9173,2023.04.21 03:00
14488,2023-04-21 04:00:00,04:00,2004.45,2005.12,2000.48,2001.94,17031,2023.04.21 04:00
14489,2023-04-21 05:00:00,05:00,2001.95,2003.9,2001.34,2002.9,13172,2023.04.21 05:00
